Year,Name,Number,Rank
1980,MICHAEL,732,1
1980,CHRISTOPHER,633,2
1980,DAVID,537,3
1980,JASON,526,4
1980,RYAN,511,5
1980,ROBERT,363,6
1980,JAMES,360,7
1980,MATTHEW,336,8
1980,DANIEL,311,9
1980,KEVIN,305,10
1980,JUSTIN,270,11
1980,SCOTT,237,12
1980,JOHN,228,13
1980,MARK,225,14
1980,JEFFREY,223,15
1980,ADAM,222,16
1980,BRADLEY,217,17
1980,STEVEN,210,18
1980,ANDREW,207,19
1980,TYLER,207,19
1980,JONATHAN,203,21
1980,TRAVIS,171,22
1980,TREVOR,168,23
1980,TIMOTHY,166,24
1980,JEREMY,165,25
1980,WILLIAM,163,26
1980,JOSHUA,162,27
1980,CHAD,156,28
1980,RICHARD,156,28
1980,NATHAN,154,30
1980,JESSE,148,31
1980,JOSEPH,147,32
1980,NICHOLAS,147,32
1980,STEPHEN,147,32
1980,AARON,145,35
1980,CURTIS,138,36
1980,DEREK,133,37
1980,SHAWN,133,37
1980,DUSTIN,132,39
1980,BENJAMIN,130,40
1980,THOMAS,128,41
1980,BRIAN,127,42
1980,PAUL,127,42
1980,CORY,126,44
1980,ERIC,126,44
1980,SHAUN,123,46
1980,SHANE,122,47
1980,SEAN,121,48
1980,GREGORY,116,49
1980,KYLE,110,50
1980,PETER,104,51
1980,DARREN,102,52
1980,COLIN,100,53
1980,PATRICK,99,54
1980,CRAIG,97,55
1980,JORDAN,90,56
1980,KENNETH,85,57
1980,BRENT,84,58
1980,DOUGLAS,80,59
1980,IAN,80,59
1980,ANTHONY,77,61
1980,CAMERON,77,61
1980,CLAYTON,71,63
1980,BRETT,69,64
1980,KELLY,69,64
1980,KEITH,68,66
1980,JAMIE,66,67
1980,CLINTON,65,68
1980,COREY,65,68
1980,JOEL,64,70
1980,JEFFERY,63,71
1980,CODY,59,72
1980,WESLEY,59,72
1980,NEIL,58,74
1980,DONALD,57,75
1980,LEE,57,75
1980,TROY,56,77
1980,DALLAS,54,78
1980,JARED,54,78
1980,TODD,54,78
1980,DARCY,53,81
1980,CHARLES,52,82
1980,PHILIP,52,82
1980,BRYAN,51,84
1980,BRANDON,50,85
1980,GRAHAM,50,85
1980,GEOFFREY,48,87
1980,MARC,48,87
1980,ALEXANDER,47,89
1980,MICHEAL,47,89
1980,SHELDON,46,91
1980,DALE,45,92
1980,BLAIR,44,93
1980,RONALD,44,93
1980,DENNIS,43,95
1980,EDWARD,43,95
1980,KRISTOPHER,43,95
1980,WAYNE,43,95
1980,DARRYL,42,99
1980,GORDON,41,100
1980,RUSSELL,40,101
1980,ALLAN,39,102
1980,ALAN,38,103
1980,GRANT,37,104
1980,RAYMOND,37,104
1980,DEAN,36,106
1980,GEORGE,36,106
1980,MITCHELL,36,106
1980,BARRY,35,109
1980,GARY,35,109
1980,KURTIS,35,109
1980,ROBIN,35,109
